Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s,Compile_Time_s,FHE_Mode
Random Forest,FHE_Optimized,8,8,0.95,0.6666666666666666,0.625,0.7142857142857143,19810.770679950714,82.35926699638367,execute
Random Forest,FHE_Optimized,8,9,0.97,0.7692307692307693,0.8333333333333334,0.7142857142857143,23398.078603982925,131.82434010505676,execute
Random Forest,FHE_Optimized,8,10,0.98,0.8333333333333334,1.0,0.7142857142857143,37300.34758710861,287.96126222610474,execute
Random Forest,FHE_Optimized,9,4,0.93,0.631578947368421,0.5,0.8571428571428571,2056.997471809387,11.236598014831543,execute
Random Forest,FHE_Optimized,9,5,0.93,0.631578947368421,0.5,0.8571428571428571,4276.513916015625,16.366962909698486,execute
Random Forest,FHE_Optimized,9,6,0.94,0.6666666666666666,0.5454545454545454,0.8571428571428571,7302.249054908752,35.76720404624939,execute
Random Forest,FHE_Optimized,9,7,0.94,0.625,0.5555555555555556,0.7142857142857143,12858.146075248718,97.76223301887512,execute
Random Forest,FHE_Optimized,9,8,0.94,0.625,0.5555555555555556,0.7142857142857143,26867.15248298645,64.0767560005188,execute
Random Forest,FHE_Optimized,9,9,0.96,0.7142857142857143,0.7142857142857143,0.7142857142857143,34790.93449997902,84.53632020950317,execute
Random Forest,FHE_Optimized,9,10,0.97,0.7692307692307693,0.8333333333333334,0.7142857142857143,52427.15853691101,475.1710362434387,execute
Random Forest,FHE_Optimized,10,4,0.93,0.631578947368421,0.5,0.8571428571428571,8676.137836933136,27.25419282913208,execute
Random Forest,FHE_Optimized,10,5,0.93,0.631578947368421,0.5,0.8571428571428571,12671.333302974701,38.42397904396057,execute
Random Forest,FHE_Optimized,10,6,0.94,0.6666666666666666,0.5454545454545454,0.8571428571428571,29735.775356054306,84.12095904350281,execute
Random Forest,FHE_Optimized,10,7,0.95,0.6666666666666666,0.625,0.7142857142857143,42972.47764086723,191.38226103782654,execute
Random Forest,FHE_Optimized,10,8,0.95,0.6666666666666666,0.625,0.7142857142857143,76501.48683810234,302.6321291923523,execute
Random Forest,FHE_Optimized,10,9,0.97,0.7692307692307693,0.8333333333333334,0.7142857142857143,79095.74031090736,188.81282711029053,execute
Random Forest,FHE_Optimized,10,10,0.95,0.6666666666666666,0.625,0.7142857142857143,126876.80986213684,202.49638390541077,execute
Random Forest,FHE_Optimized,11,4,0.93,0.631578947368421,0.5,0.8571428571428571,8545.502685070038,21.915910959243774,execute
Random Forest,FHE_Optimized,11,5,0.92,0.5555555555555556,0.45454545454545453,0.7142857142857143,10611.102766036987,46.92964315414429,execute
Random Forest,FHE_Optimized,11,6,0.94,0.6666666666666666,0.5454545454545454,0.8571428571428571,19168.23196697235,43.96456694602966,execute
Random Forest,FHE_Optimized,11,7,0.95,0.7058823529411765,0.6,0.8571428571428571,44906.66520237923,245.88409209251404,execute
