,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
498,FHEDecisionTreeClassifier,6,5,8,0.8590179170132615,1.5304615839850157,596.866761540994,0.956,0.9531914893617022
499,FHEDecisionTreeClassifier,6,5,9,0.5035172920033801,1.2957460420147981,599.482320457988,0.96,0.9572649572649573
500,FHEDecisionTreeClassifier,6,5,10,0.5839704590034671,1.3463474169839174,590.6997088750068,0.94,0.9429657794676806
501,FHEDecisionTreeClassifier,6,5,11,0.7702838330005761,1.1703001669957303,592.0216594999947,0.956,0.9543568464730291
502,FHEDecisionTreeClassifier,6,5,12,0.30162162499618717,1.4699799590162002,587.0997141250118,0.948,0.944206008583691
503,FHEDecisionTreeClassifier,6,5,13,0.8212879589991644,1.356573583005229,592.4557415420131,0.964,0.9629629629629629
504,FHEDecisionTreeClassifier,6,5,14,0.6142064589948859,1.748494291008683,598.4754805830016,0.952,0.9459459459459459
505,FHEDecisionTreeClassifier,6,5,15,0.746113666013116,1.2989854580082465,596.4761213750171,0.94,0.9387755102040817
506,FHEDecisionTreeClassifier,6,5,16,0.7158380409819074,1.3833227500144858,604.8554231669987,0.964,0.9644268774703557
507,FHEDecisionTreeClassifier,6,5,17,0.9106955000024755,1.6667400840087794,595.5146825419797,0.948,0.9465020576131687
508,FHEDecisionTreeClassifier,6,5,18,0.7605977920175064,1.402169708017027,612.8807320409978,0.956,0.9531914893617022
509,FHEDecisionTreeClassifier,6,5,19,0.8102966670121532,1.6458528749935795,601.4589694580063,0.952,0.9512195121951219
510,FHEDecisionTreeClassifier,6,6,5,0.6566769579949323,1.3619380840100348,618.2596506249974,0.944,0.944
511,FHEDecisionTreeClassifier,6,6,6,0.5936099580139853,1.409419000003254,606.2116146670014,0.94,0.935064935064935
512,FHEDecisionTreeClassifier,6,6,7,0.658571917010704,1.3489861249981914,605.5521874999977,0.924,0.921161825726141
513,FHEDecisionTreeClassifier,6,6,8,0.7358377919881605,1.452052915992681,626.6732963749964,0.964,0.961038961038961
514,FHEDecisionTreeClassifier,6,6,9,0.6085364169848617,1.544623750000028,610.4272801670013,0.952,0.9487179487179487
515,FHEDecisionTreeClassifier,6,6,10,0.6093024580040947,1.4915357919817325,604.9696933749947,0.924,0.9254901960784314
516,FHEDecisionTreeClassifier,6,6,11,0.8578257079934701,1.3547278750047553,588.1697376660013,0.924,0.9184549356223176
517,FHEDecisionTreeClassifier,6,6,12,1.0578077500103973,1.4436815420049243,598.7869784169889,0.956,0.9523809523809523
518,FHEDecisionTreeClassifier,6,6,13,0.8603664999827743,1.5825115000188816,586.553121917008,0.956,0.9539748953974896
519,FHEDecisionTreeClassifier,6,6,14,0.9675220000208355,1.436498750001192,590.8650186670129,0.952,0.944954128440367
520,FHEDecisionTreeClassifier,6,6,15,0.6766711249947548,1.5377943749772385,590.6157001249958,0.936,0.9310344827586207
521,FHEDecisionTreeClassifier,6,6,16,0.8565170829824638,1.5218976250034757,572.2556990000012,0.936,0.9349593495934959
522,FHEDecisionTreeClassifier,6,6,17,0.7963455409917515,1.6323077919951174,588.8773162500001,0.932,0.9294605809128631
523,FHEDecisionTreeClassifier,6,6,18,0.8062739580054767,1.6186614579928573,609.1332265000092,0.956,0.9531914893617022
524,FHEDecisionTreeClassifier,6,6,19,0.6434404590108898,1.5695120000164025,594.7330995000084,0.96,0.9596774193548387
525,FHEDecisionTreeClassifier,6,7,5,0.5198425420094281,1.7239367500005756,653.5073024580197,0.936,0.9354838709677419
526,FHEDecisionTreeClassifier,6,7,6,0.5747756249911617,1.4760759159980807,637.6363360419928,0.944,0.940677966101695
527,FHEDecisionTreeClassifier,6,7,7,0.5458715830172878,1.707130958995549,606.3747503750201,0.92,0.9186991869918699
528,FHEDecisionTreeClassifier,6,7,8,0.8316252089862246,1.6101703329768497,634.7688582499977,0.952,0.9482758620689655
529,FHEDecisionTreeClassifier,6,7,9,0.7097285839845426,1.4568242499954067,637.5758082910033,0.936,0.9310344827586207
530,FHEDecisionTreeClassifier,6,7,10,0.8720731250068638,1.4417245000076946,614.7186552500061,0.928,0.9307692307692308
531,FHEDecisionTreeClassifier,6,7,11,0.7630726250063162,1.5486891250184271,630.6566020000027,0.936,0.9344262295081968
532,FHEDecisionTreeClassifier,6,7,12,0.5204861249949317,1.7502570000069682,650.8234524999862,0.948,0.9437229437229437
533,FHEDecisionTreeClassifier,6,7,13,0.7360362919862382,1.4269332909898367,639.4440562500095,0.956,0.9543568464730291
