,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
953,DecisionTreeClassifier,9,5,13,0.005185541999999543,0,0.0001339169999994283,0.996,0.9959183673469387
954,DecisionTreeClassifier,9,5,14,0.0054007919999996545,0,0.00014733300000102645,0.984,0.9821428571428571
955,DecisionTreeClassifier,9,5,15,0.00880399999999959,0,0.00020954100000025733,0.992,0.9917355371900827
956,DecisionTreeClassifier,9,5,16,0.010111999999999455,0,0.00015866699999911305,0.996,0.996078431372549
957,DecisionTreeClassifier,9,5,17,0.006807958000001335,0,0.00012070899999905293,0.976,0.976
958,DecisionTreeClassifier,9,5,18,0.006641250000001264,0,0.00016700000000113846,0.98,0.979253112033195
959,DecisionTreeClassifier,9,5,19,0.007308124999999777,0,0.0001379169999999874,0.992,0.9921259842519685
960,DecisionTreeClassifier,9,6,5,0.003953249999998576,0,0.00032112499999925603,0.992,0.9921259842519685
961,DecisionTreeClassifier,9,6,6,0.0026814999999995592,0,0.00014595799999916892,0.984,0.9830508474576272
962,DecisionTreeClassifier,9,6,7,0.0026539579999997898,0,0.0001350829999999803,0.972,0.9721115537848606
963,DecisionTreeClassifier,9,6,8,0.0032453749999987735,0,0.00010216699999965329,0.984,0.9829059829059829
964,DecisionTreeClassifier,9,6,9,0.0033434999999997217,0,0.00011441700000069943,0.984,0.9833333333333333
965,DecisionTreeClassifier,9,6,10,0.004249417000000477,0,0.00013920800000022382,0.992,0.9927007299270073
966,DecisionTreeClassifier,9,6,11,0.004347875000000556,0,0.0001716250000001196,0.976,0.975
967,DecisionTreeClassifier,9,6,12,0.004676915999999309,0,0.00014941599999929167,0.984,0.9830508474576272
968,DecisionTreeClassifier,9,6,13,0.005250500000000713,0,0.00012245799999988094,0.996,0.9959183673469387
969,DecisionTreeClassifier,9,6,14,0.005404666999998753,0,0.00012458399999992764,0.984,0.9821428571428571
970,DecisionTreeClassifier,9,6,15,0.006817707999999811,0,0.000141124999998965,0.992,0.9917355371900827
971,DecisionTreeClassifier,9,6,16,0.006279958000000363,0,0.0001814170000002946,0.996,0.996078431372549
972,DecisionTreeClassifier,9,6,17,0.007223624999999956,0,0.0001730829999999628,0.976,0.976
973,DecisionTreeClassifier,9,6,18,0.006781957999999477,0,0.00015187500000024556,0.984,0.9833333333333333
974,DecisionTreeClassifier,9,6,19,0.007342332999998646,0,0.00016804199999853608,0.988,0.9882352941176471
975,DecisionTreeClassifier,9,7,5,0.0021242499999996056,0,0.0001113339999996299,0.992,0.9921259842519685
976,DecisionTreeClassifier,9,7,6,0.0025779589999999075,0,0.00013220800000013355,0.984,0.9830508474576272
977,DecisionTreeClassifier,9,7,7,0.002617875000000325,0,0.00011616699999983382,0.968,0.9682539682539683
978,DecisionTreeClassifier,9,7,8,0.0032293749999983135,0,0.00013545800000080988,0.984,0.9829059829059829
979,DecisionTreeClassifier,9,7,9,0.0035608329999998745,0,0.000150458000000242,0.984,0.9833333333333333
980,DecisionTreeClassifier,9,7,10,0.004453833000001239,0,0.00012629100000083326,0.996,0.9963369963369964
981,DecisionTreeClassifier,9,7,11,0.004316041999999243,0,0.00010945800000072836,0.976,0.975
982,DecisionTreeClassifier,9,7,12,0.004888041000000953,0,0.00017416600000075277,0.984,0.9830508474576272
983,DecisionTreeClassifier,9,7,13,0.005269708000000151,0,0.00013916600000030144,0.996,0.9959183673469387
984,DecisionTreeClassifier,9,7,14,0.0054067910000004105,0,0.00017291700000043875,0.984,0.9821428571428571
985,DecisionTreeClassifier,9,7,15,0.0068184999999996165,0,0.00013591699999970785,0.992,0.9917355371900827
986,DecisionTreeClassifier,9,7,16,0.0061955830000002265,0,0.00013729199999978903,0.992,0.9921259842519685
987,DecisionTreeClassifier,9,7,17,0.006797000000000608,0,0.00015804100000060828,0.976,0.976
988,DecisionTreeClassifier,9,7,18,0.0066829159999990395,0,0.00015129199999996956,0.98,0.979253112033195
989,DecisionTreeClassifier,9,7,19,0.009498583000000949,0,0.00028645899999979463,0.988,0.9881422924901185
990,DecisionTreeClassifier,9,8,5,0.002140000000000697,0,0.00013787500000006503,0.992,0.9921259842519685
991,DecisionTreeClassifier,9,8,6,0.0025826250000005047,0,0.00012008399999885455,0.984,0.9830508474576272
992,DecisionTreeClassifier,9,8,7,0.002695874999998793,0,0.00014174999999916338,0.968,0.9682539682539683
993,DecisionTreeClassifier,9,8,8,0.0033231249999996493,0,0.00016650000000062448,0.984,0.9829059829059829
994,DecisionTreeClassifier,9,8,9,0.0034542920000006916,0,0.00017858400000037022,0.984,0.9833333333333333
995,DecisionTreeClassifier,9,8,10,0.004293833999998498,0,0.00011999999999900979,0.992,0.9926470588235294
996,DecisionTreeClassifier,9,8,11,0.004311292000000577,0,0.00012233300000019653,0.976,0.975
997,DecisionTreeClassifier,9,8,12,0.004587250000000154,0,0.00013166699999977993,0.984,0.9830508474576272
998,DecisionTreeClassifier,9,8,13,0.005242875000000424,0,0.00012533399999981043,0.996,0.9959183673469387
999,DecisionTreeClassifier,9,8,14,0.005455333999998757,0,0.00014787499999968645,0.984,0.9821428571428571
1000,DecisionTreeClassifier,9,8,15,0.006859041000000232,0,0.00011120899999994549,0.992,0.9917355371900827
1001,DecisionTreeClassifier,9,8,16,0.006107416000000754,0,0.00011041700000014032,0.992,0.9921259842519685
1002,DecisionTreeClassifier,9,8,17,0.006803415999998563,0,0.00013370799999989913,0.976,0.976
1003,DecisionTreeClassifier,9,8,18,0.006697416999999817,0,0.00012924999999874842,0.98,0.979253112033195
1004,DecisionTreeClassifier,9,8,19,0.007319540999999319,0,0.00014579099999956213,0.992,0.9921259842519685
1005,DecisionTreeClassifier,9,9,5,0.002089209000001091,0,8.541600000100402e-05,0.992,0.9921259842519685
1006,DecisionTreeClassifier,9,9,6,0.0024903749999989344,0,0.0001008339999994945,0.984,0.9830508474576272
1007,DecisionTreeClassifier,9,9,7,0.002558458000001096,0,7.716600000051699e-05,0.968,0.9682539682539683
1008,DecisionTreeClassifier,9,9,8,0.003181042000001355,0,7.89589999996565e-05,0.98,0.9787234042553191
1009,DecisionTreeClassifier,9,9,9,0.0033176670000010233,0,7.087500000224622e-05,0.984,0.9833333333333333
1010,DecisionTreeClassifier,9,9,10,0.004204542000000089,0,0.0001199579999990874,0.988,0.989010989010989
1011,DecisionTreeClassifier,9,9,11,0.007758875000000387,0,0.0002327499999985605,0.976,0.975
1012,DecisionTreeClassifier,9,9,12,0.009444458000000822,0,0.00032833399999887547,0.984,0.9830508474576272
1013,DecisionTreeClassifier,9,9,13,0.005269833999999918,0,0.00018170800000305576,0.996,0.9959183673469387
1014,DecisionTreeClassifier,9,9,14,0.00553095799999781,0,0.00013291600000187032,0.988,0.9866666666666667
1015,DecisionTreeClassifier,9,9,15,0.011913083999999685,0,0.00020262500000001182,0.992,0.9917355371900827
1016,DecisionTreeClassifier,9,9,16,0.006190332999999271,0,0.00019008299999967448,0.988,0.9882352941176471
1017,DecisionTreeClassifier,9,9,17,0.007519667000000396,0,0.0001875839999989637,0.976,0.976
1018,DecisionTreeClassifier,9,9,18,0.0068123749999990935,0,0.00019479100000197036,0.984,0.9833333333333333
1019,DecisionTreeClassifier,9,9,19,0.007425833999999298,0,0.00016875000000027285,0.988,0.9881422924901185
1020,DecisionTreeClassifier,9,10,5,0.002244000000001023,0,0.00018345799999863743,0.992,0.9921259842519685
1021,DecisionTreeClassifier,9,10,6,0.007844624999997052,0,0.0003201249999982281,0.984,0.9830508474576272
1022,DecisionTreeClassifier,9,10,7,0.0026997080000015217,0,0.00011124999999978513,0.968,0.9682539682539683
1023,DecisionTreeClassifier,9,10,8,0.0032689169999997603,0,9.604199999913021e-05,0.984,0.9829059829059829
1024,DecisionTreeClassifier,9,10,9,0.003366708000001495,0,0.00014204200000023093,0.984,0.9833333333333333
1025,DecisionTreeClassifier,9,10,10,0.0042424580000002265,0,0.00011162499999883835,0.988,0.989010989010989
