,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
30,FHERandomForestClassifier,3,4,5,0.10472779099973195,1.215560957999969,386.9729737079997,0.9,0.9042145593869731
31,FHERandomForestClassifier,3,4,6,0.0923601670001517,1.204855250000037,382.8116287499997,0.896,0.8907563025210085
32,FHERandomForestClassifier,3,4,7,0.06590658299955976,1.1523038750001433,385.79392783300045,0.868,0.8705882352941177
33,FHERandomForestClassifier,3,4,8,0.11682433300029516,1.164385167000546,386.4703303340002,0.876,0.8734693877551021
34,FHERandomForestClassifier,3,4,9,0.0786846670007435,1.0850245410001662,381.7380384999997,0.904,0.9024390243902439
35,FHERandomForestClassifier,3,4,10,0.12494291599978169,1.0952632079997784,374.6626248749999,0.868,0.8754716981132076
36,FHERandomForestClassifier,3,4,11,0.09624150000036025,1.1507130410000173,376.93342154199945,0.86,0.8616600790513834
37,FHERandomForestClassifier,3,4,12,0.12369845800003532,1.1298279579996233,374.3374269169999,0.884,0.8844621513944223
38,FHERandomForestClassifier,3,4,13,0.0874457079999047,1.099832249999963,379.67773970799954,0.896,0.8869565217391304
39,FHERandomForestClassifier,3,4,14,0.11277645799964375,1.0466455420000784,378.4809570410007,0.856,0.847457627118644
40,FHERandomForestClassifier,3,4,15,0.11804525000025023,1.1283595839995542,378.2397223750004,0.888,0.8833333333333333
41,FHERandomForestClassifier,3,4,16,0.1615959999999177,1.1564721670001745,380.46852316699915,0.868,0.8705882352941177
42,FHERandomForestClassifier,3,4,17,0.12591312500080676,1.128887290999046,382.14753329199993,0.872,0.873015873015873
43,FHERandomForestClassifier,3,4,18,0.15258970799914096,1.106752832998609,381.4860999169996,0.872,0.8584070796460177
44,FHERandomForestClassifier,3,4,19,0.19390595900040353,1.1702814580003178,385.9093004590013,0.888,0.8914728682170543
45,FHERandomForestClassifier,3,5,5,0.06393470900002285,1.10389587499958,461.9142423329995,0.9,0.9042145593869731
46,FHERandomForestClassifier,3,5,6,0.10922883300008834,1.2071950000008655,451.8021589580003,0.908,0.9029535864978903
47,FHERandomForestClassifier,3,5,7,0.14763658299852978,1.126588625000295,450.06351016699955,0.864,0.859504132231405
48,FHERandomForestClassifier,3,5,8,0.1080997919998481,1.1890898750007182,455.7235721249999,0.884,0.8755364806866953
49,FHERandomForestClassifier,3,5,9,0.09960762500122655,1.3564461670011951,447.9518753749999,0.9,0.8898678414096917
50,FHERandomForestClassifier,3,5,10,0.10465074999956414,1.0564972499996657,430.65040416599913,0.86,0.8679245283018868
51,FHERandomForestClassifier,3,5,11,0.11404512499939301,1.2389674579990242,433.4304792499988,0.86,0.8571428571428571
52,FHERandomForestClassifier,3,5,12,0.1489272090002487,1.1026421669994306,444.37774470800105,0.888,0.8823529411764706
53,FHERandomForestClassifier,3,5,13,0.14082466599938925,1.0679104160008137,443.7696629580005,0.9,0.895397489539749
54,FHERandomForestClassifier,3,5,14,0.13554916599969147,1.2372190420010156,440.1779185000014,0.848,0.8347826086956521
55,FHERandomForestClassifier,3,5,15,0.1584679169991432,1.2426725829991483,423.36016745800043,0.88,0.8728813559322034
56,FHERandomForestClassifier,3,5,16,0.1763230000015028,1.318304917000205,436.6938592080005,0.876,0.8821292775665399
57,FHERandomForestClassifier,3,5,17,0.15368445800049813,1.030069166999965,436.466024166999,0.88,0.8760330578512396
58,FHERandomForestClassifier,3,5,18,0.15807141700133798,1.1299405829995521,449.5881592499991,0.876,0.8658008658008658
59,FHERandomForestClassifier,3,5,19,0.13462341599915817,1.058134249999057,441.05276545800007,0.872,0.8778625954198473
60,FHERandomForestClassifier,3,6,5,0.09969341599935433,1.1317769999986922,499.87353599999915,0.916,0.9176470588235294
61,FHERandomForestClassifier,3,6,6,0.10933916700014379,1.3192440419988998,491.64503633300046,0.884,0.8765957446808511
62,FHERandomForestClassifier,3,6,7,0.11507895899922005,1.2707386660003976,503.93275662499946,0.84,0.84251968503937
63,FHERandomForestClassifier,3,6,8,0.10416979200090282,1.1688317909975012,509.03794050000215,0.888,0.8803418803418803
64,FHERandomForestClassifier,3,6,9,0.09080637499937438,1.234497207999084,494.15360170799977,0.892,0.8820960698689956
65,FHERandomForestClassifier,3,6,10,0.10396300000138581,1.1579317499999888,487.33657233300255,0.86,0.8659003831417624
66,FHERandomForestClassifier,3,6,11,0.10810375000073691,1.2122300420014653,486.12833237499945,0.872,0.8699186991869918
67,FHERandomForestClassifier,3,6,12,0.1250424589998147,1.1499377500003902,505.51621012500254,0.896,0.8907563025210085
68,FHERandomForestClassifier,3,6,13,0.15212324999811244,1.1835725829987496,502.8543776660008,0.908,0.9053497942386831
69,FHERandomForestClassifier,3,6,14,0.13764837499911664,1.0400755830014532,497.53639716699763,0.856,0.8407079646017699
70,FHERandomForestClassifier,3,6,15,0.14892812499965657,1.2452230420021806,485.90112316700106,0.892,0.8851063829787233
71,FHERandomForestClassifier,3,6,16,0.1816698339971481,1.2034488750032324,490.87854595799945,0.884,0.8835341365461847
72,FHERandomForestClassifier,3,6,17,0.2913986669991573,1.0897837089978566,503.3347631249999,0.872,0.8677685950413223
73,FHERandomForestClassifier,3,6,18,0.14687395799774094,1.3127160829972127,513.1370551250002,0.88,0.8695652173913043
74,FHERandomForestClassifier,3,6,19,0.17165058300088276,1.2337117919996672,507.357903084001,0.892,0.8941176470588236
75,FHERandomForestClassifier,3,7,5,0.0929424169989943,1.2230209580011433,548.5501755829973,0.928,0.9291338582677166
76,FHERandomForestClassifier,3,7,6,0.16297099999792408,1.0999641669986886,534.9851245829996,0.888,0.8852459016393442
77,FHERandomForestClassifier,3,7,7,0.10782504199960385,1.1594544170002337,537.0252374170013,0.876,0.8744939271255061
78,FHERandomForestClassifier,3,7,8,0.12835637500029407,1.1721419999994396,554.724600958998,0.88,0.8780487804878049
79,FHERandomForestClassifier,3,7,9,0.13125658400167595,1.1782532920005906,560.7647195409991,0.896,0.8916666666666667
80,FHERandomForestClassifier,3,7,10,0.14065220799966482,1.1958635000009963,540.9089599580002,0.864,0.8702290076335878
81,FHERandomForestClassifier,3,7,11,0.15126629199949093,1.2623866670001007,553.7707321249982,0.864,0.8629032258064516
82,FHERandomForestClassifier,3,7,12,0.11519666700041853,1.1277028330005123,557.8699426670028,0.884,0.8744588744588745
83,FHERandomForestClassifier,3,7,13,0.12317966599948704,1.3165020839987847,579.1341042079985,0.92,0.9173553719008265
84,FHERandomForestClassifier,3,7,14,0.1525400840000657,1.3225732920000155,597.0559412080001,0.852,0.8310502283105022
85,FHERandomForestClassifier,3,7,15,0.1779740829988441,1.1100607500011392,596.9134794170022,0.884,0.8776371308016878
86,FHERandomForestClassifier,3,7,16,0.14895350000006147,1.1871189579978818,605.5599676659986,0.884,0.8844621513944223
87,FHERandomForestClassifier,3,7,17,0.16090849999818602,1.1090498750018014,604.0959326669981,0.876,0.8724279835390947
88,FHERandomForestClassifier,3,7,18,0.1627447499995469,1.1643973340032971,625.9710590409995,0.876,0.8680851063829788
89,FHERandomForestClassifier,3,7,19,0.1600609590022941,1.2083950420019391,617.4688723750005,0.892,0.8949416342412452
90,FHERandomForestClassifier,3,8,5,0.1810883329999342,1.3025943749998987,687.2261801249952,0.912,0.912
